"","customerid","gender","seniorcitizen","partner","dependents","tenure","phoneservice","multiplelines","internetservice","onlinesecurity","onlinebackup","deviceprotection","techsupport","streamingtv","streamingmovies","contract","paperlessbilling","paymentmethod","monthlycharges","totalcharges","churn","status"
"1218","0784-GTUUK","Male",0,"Yes","No",62,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","Yes","Credit card (automatic)",23.75,1446.8,"No",0
"1219","7979-CORPM","Male",0,"No","No",24,"Yes","Yes","Fiber optic","No","Yes","No","No","Yes","No","Month-to-month","Yes","Credit card (automatic)",90.55,2282.55,"Yes",1
"1221","0872-JCPIB","Male",0,"No","No",17,"Yes","Yes","DSL","Yes","No","No","No","No","Yes","Month-to-month","No","Bank transfer (automatic)",65.75,1111.2,"No",0
"1223","9091-WTUUY","Male",0,"Yes","Yes",64,"Yes","No","DSL","Yes","No","Yes","Yes","Yes","No","Two year","No","Mailed check",69.25,4447.75,"No",0
"1227","7115-IRDHS","Female",0,"Yes","No",72,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Bank transfer (automatic)",24.65,1830.05,"No",0
"1230","9068-VPWQQ","Male",0,"Yes","No",61,"Yes","Yes","DSL","Yes","No","Yes","Yes","No","Yes","Two year","No","Credit card (automatic)",75.35,4729.3,"No",0
"1231","0178-SZBHO","Male",0,"Yes","Yes",47,"Yes","Yes","Fiber optic","No","Yes","No","No","Yes","No","Month-to-month","No","Electronic check",87.2,4017.45,"No",0
"1235","4525-VZCZG","Male",0,"No","Yes",54,"Yes","No","Fiber optic","Yes","Yes","No","Yes","Yes","Yes","One year","Yes","Electronic check",105.85,5826.65,"No",0
"1236","1543-LLLFT","Male",1,"Yes","No",61,"Yes","Yes","Fiber optic","No","Yes","Yes","Yes","Yes","No","One year","Yes","Mailed check",98.3,6066.55,"No",0
"1237","5835-BEQEU","Male",0,"No","No",3,"Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",76.95,228.4,"Yes",1
"1242","0096-FCPUF","Male",0,"No","No",30,"Yes","Yes","DSL","Yes","No","No","No","No","Yes","Month-to-month","Yes","Mailed check",64.5,1888.45,"No",0
"1243","0668-OGMHD","Female",0,"Yes","No",21,"No","No phone service","DSL","Yes","No","No","No","No","No","Month-to-month","No","Electronic check",28.5,629.35,"No",0
"1244","5552-ZNFSJ","Male",0,"No","No",1,"Yes","No","DSL","No","No","No","No","No","No","Month-to-month","No","Electronic check",45.3,45.3,"Yes",1
"1245","2223-KAGMX","Female",0,"No","No",15,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Bank transfer (automatic)",19.4,289.3,"Yes",1
"1247","9408-HRXRK","Female",0,"Yes","Yes",45,"Yes","Yes","Fiber optic","Yes","Yes","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",105.15,4730.9,"No",0
"1248","5593-SUAOO","Female",0,"Yes","Yes",24,"Yes","Yes","Fiber optic","No","Yes","Yes","No","No","No","One year","No","Bank transfer (automatic)",83.15,2033.05,"No",0
"1249","7321-PKUYW","Female",0,"No","No",11,"Yes","Yes","Fiber optic","No","No","No","Yes","Yes","No","Month-to-month","No","Electronic check",90.15,987.95,"Yes",1
"1250","2833-SLKDQ","Male",0,"No","No",1,"Yes","No","DSL","No","No","No","No","No","No","Month-to-month","No","Mailed check",45.05,45.05,"Yes",1
"1252","7595-EUIVN","Female",0,"No","No",1,"Yes","No","Fiber optic","No","Yes","No","No","No","No","Month-to-month","No","Electronic check",75.8,75.8,"Yes",1
"1253","7617-EYGLW","Male",0,"No","No",1,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Electronic check",19.45,19.45,"No",0
"1254","2026-TGDHM","Female",0,"No","No",7,"Yes","No","Fiber optic","No","No","No","No","No","Yes","Month-to-month","Yes","Electronic check",79.3,523.15,"Yes",1
"1256","4030-VPZBD","Female",0,"No","No",2,"No","No phone service","DSL","No","No","No","Yes","No","No","Month-to-month","Yes","Electronic check",30.9,59.05,"Yes",1
"1258","0723-VSOBE","Female",1,"No","No",45,"No","No phone service","DSL","No","No","No","No","No","Yes","One year","No","Electronic check",34.2,1596.6,"No",0
"1259","5529-GIBVH","Female",0,"No","No",47,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Mailed check",20.15,1046.2,"No",0
"1260","4187-CINZD","Female",1,"No","No",46,"Yes","No","Fiber optic","No","Yes","No","No","Yes","Yes","One year","No","Credit card (automatic)",95.25,4424.2,"Yes",1
"1261","9992-UJOEL","Male",0,"No","No",2,"Yes","No","DSL","No","Yes","No","No","No","No","Month-to-month","Yes","Mailed check",50.3,92.75,"No",0
"1262","4741-WWJQZ","Female",0,"Yes","No",2,"Yes","No","Fiber optic","Yes","No","No","Yes","No","No","Month-to-month","Yes","Electronic check",80.15,194.55,"No",0
"1264","6818-WOBHJ","Female",1,"Yes","No",68,"Yes","Yes","Fiber optic","No","Yes","No","No","No","Yes","Month-to-month","Yes","Bank transfer (automatic)",89.6,6127.6,"Yes",1
"1265","6244-BESBM","Male",0,"Yes","Yes",69,"Yes","No","Fiber optic","No","No","No","Yes","Yes","Yes","Two year","Yes","Credit card (automatic)",95.2,6671.7,"No",0
"1267","1251-STYSZ","Female",1,"No","No",4,"Yes","Yes","Fiber optic","Yes","No","No","No","No","No","Month-to-month","Yes","Electronic check",80.25,303.7,"No",0
"1268","2612-PHGOX","Male",0,"Yes","No",64,"Yes","Yes","DSL","No","Yes","Yes","Yes","Yes","No","Two year","Yes","Bank transfer (automatic)",76.1,4818.8,"No",0
"1269","2408-TZMJL","Male",0,"Yes","No",59,"Yes","Yes","Fiber optic","Yes","Yes","Yes","No","Yes","Yes","One year","Yes","Electronic check",110.15,6448.05,"Yes",1
"1270","8480-PPONV","Male",0,"Yes","Yes",62,"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes","Two year","No","Bank transfer (automatic)",115.55,7159.05,"No",0
"1271","8780-IHCRN","Male",0,"Yes","Yes",63,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Credit card (automatic)",24.65,1574.5,"No",0
"1272","4598-ZADCK","Female",0,"No","No",53,"No","No phone service","DSL","Yes","Yes","Yes","Yes","Yes","No","One year","Yes","Electronic check",53.6,2879.2,"No",0
"1273","1257-SXUXQ","Male",0,"Yes","Yes",5,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Mailed check",19.45,86.05,"No",0
"1274","9681-KYGYB","Male",1,"Yes","No",49,"Yes","Yes","Fiber optic","Yes","Yes","Yes","No","No","No","Month-to-month","Yes","Electronic check",88.2,4159.45,"No",0
"1275","7182-OVLBJ","Female",0,"Yes","Yes",62,"Yes","Yes","Fiber optic","Yes","No","No","No","Yes","Yes","Two year","Yes","Bank transfer (automatic)",101.15,6638.35,"No",0
"1276","5095-ETBRJ","Female",0,"Yes","No",55,"Yes","No","DSL","Yes","Yes","No","Yes","No","No","Two year","No","Mailed check",56.8,3112.05,"No",0
"1277","7005-CYUIL","Female",1,"Yes","No",71,"Yes","No","Fiber optic","Yes","Yes","Yes","Yes","Yes","No","Two year","Yes","Electronic check",99.4,7168.25,"No",0
"1278","4821-WQOYN","Female",0,"Yes","Yes",72,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","Yes","Credit card (automatic)",20.1,1326.25,"No",0
"1279","4730-AWNAU","Male",0,"Yes","Yes",36,"No","No phone service","DSL","Yes","No","Yes","Yes","Yes","Yes","One year","No","Credit card (automatic)",60.7,2234.55,"No",0
"1282","9531-NSBMR","Female",0,"No","No",36,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","Yes","Bank transfer (automatic)",19.25,679.8,"No",0
"1283","6260-ONULR","Male",0,"No","No",1,"Yes","No","DSL","No","No","No","No","Yes","Yes","Month-to-month","Yes","Mailed check",62.8,62.8,"No",0
"1285","8711-LOBKY","Male",0,"Yes","Yes",59,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Mailed check",19.85,1188.25,"No",0
"1286","9134-CEQMF","Male",1,"Yes","No",7,"Yes","No","Fiber optic","No","No","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",89.5,676.7,"Yes",1
"1288","8800-ZKRFW","Female",0,"Yes","Yes",30,"Yes","Yes","Fiber optic","No","Yes","Yes","Yes","Yes","Yes","Month-to-month","Yes","Electronic check",107.5,3242.5,"No",0
"1289","2616-FLVQC","Male",0,"No","No",64,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Mailed check",19.55,1240.15,"No",0
"1290","9968-FFVVH","Male",0,"No","No",63,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","No","No","One year","No","Bank transfer (automatic)",68.8,4111.35,"No",0
"1293","8390-FESFV","Female",0,"No","No",62,"Yes","Yes","DSL","No","Yes","Yes","Yes","Yes","Yes","Two year","No","Bank transfer (automatic)",84.5,5193.2,"No",0
"1296","6248-TKCQV","Female",0,"Yes","Yes",70,"Yes","Yes","DSL","Yes","No","No","Yes","Yes","Yes","Two year","Yes","Bank transfer (automatic)",80.6,5460.2,"No",0
"1297","6729-GDNGC","Female",1,"No","No",20,"Yes","No","Fiber optic","No","No","No","No","Yes","No","Month-to-month","No","Bank transfer (automatic)",80.7,1614.2,"No",0
"1303","3230-IUALN","Female",0,"Yes","Yes",45,"Yes","No","DSL","Yes","No","Yes","Yes","Yes","Yes","Two year","Yes","Mailed check",81,3533.6,"No",0
"1305","8519-IMDHU","Male",1,"Yes","No",15,"Yes","Yes","Fiber optic","No","No","No","No","No","Yes","Month-to-month","Yes","Bank transfer (automatic)",85.6,1345.55,"Yes",1
"1306","4945-RVMTE","Female",0,"No","No",28,"Yes","No","DSL","No","No","Yes","No","Yes","No","Month-to-month","Yes","Bank transfer (automatic)",59.55,1646.45,"No",0
"1307","0201-OAMXR","Female",0,"No","No",70,"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes","One year","No","Credit card (automatic)",115.55,8127.6,"Yes",1
"1309","3372-KWFBM","Male",1,"No","No",16,"Yes","Yes","Fiber optic","No","No","No","No","Yes","No","Month-to-month","Yes","Electronic check",86.6,1281,"Yes",1
"1310","7831-QGOXH","Female",0,"No","No",18,"Yes","Yes","Fiber optic","No","No","No","No","Yes","No","Month-to-month","Yes","Electronic check",85.2,1553.9,"Yes",1
"1312","3941-XTSKM","Male",0,"Yes","Yes",42,"No","No phone service","DSL","No","Yes","Yes","No","No","Yes","One year","Yes","Credit card (automatic)",45.1,2049.05,"No",0
"1316","5158-RIVOP","Female",0,"Yes","Yes",11,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Credit card (automatic)",20.9,202.3,"No",0
"1318","9277-JOOMO","Female",0,"No","No",3,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Mailed check",24.6,86.35,"No",0
"1319","1907-YLNYW","Male",0,"No","No",8,"Yes","No","DSL","Yes","No","Yes","No","No","Yes","Month-to-month","Yes","Electronic check",66.7,579,"No",0
"1321","8947-YRTDV","Male",0,"Yes","Yes",32,"Yes","No","Fiber optic","Yes","Yes","Yes","No","No","Yes","One year","No","Mailed check",94.8,3131.55,"No",0
"1322","3161-ONRWK","Male",0,"Yes","Yes",60,"Yes","No","DSL","Yes","Yes","Yes","Yes","No","No","One year","Yes","Bank transfer (automatic)",65.85,3928.3,"No",0
"1325","0031-PVLZI","Female",0,"Yes","Yes",4,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Mailed check",20.35,76.35,"Yes",1
"1326","7206-GZCDC","Female",1,"No","No",1,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",69.25,69.25,"Yes",1
"1327","6682-VCIXC","Female",0,"Yes","Yes",43,"No","No phone service","DSL","Yes","Yes","No","Yes","Yes","No","One year","Yes","Bank transfer (automatic)",51.25,2151.6,"No",0
"1330","3910-MRQOY","Female",0,"Yes","No",72,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Bank transfer (automatic)",19.4,1496.45,"No",0
"1331","0661-WCQNQ","Male",0,"Yes","No",22,"Yes","No","DSL","Yes","No","No","Yes","No","No","One year","Yes","Credit card (automatic)",56.25,1292.2,"No",0
"1332","7537-RBWEA","Female",0,"No","No",1,"No","No phone service","DSL","No","No","No","No","No","No","Month-to-month","Yes","Mailed check",25.15,25.15,"No",0
"1333","4656-CAURT","Male",0,"No","No",69,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Bank transfer (automatic)",23.95,1713.1,"No",0
"1336","4671-LXRDQ","Male",0,"No","No",2,"Yes","No","DSL","No","No","No","No","No","No","Month-to-month","Yes","Mailed check",45,96.45,"Yes",1
"1337","3733-LSYCE","Female",0,"Yes","No",15,"Yes","No","Fiber optic","No","Yes","No","No","No","No","Month-to-month","No","Bank transfer (automatic)",75.35,1114.55,"No",0
"1338","6265-FRMTQ","Male",0,"No","No",31,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Bank transfer (automatic)",20.4,609.1,"No",0
"1343","2017-CCBLH","Female",0,"No","No",8,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Mailed check",20,141.6,"No",0
"1344","7690-KPNCU","Male",0,"Yes","Yes",64,"Yes","No","DSL","Yes","No","Yes","No","Yes","Yes","One year","Yes","Credit card (automatic)",73.05,4688.65,"No",0
"1345","0536-BGFMZ","Female",0,"Yes","No",28,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Mailed check",20.5,563.05,"No",0
"1346","2293-IJWPS","Female",0,"Yes","No",57,"Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes","One year","Yes","Credit card (automatic)",100.75,5985,"No",0
"1347","2845-HSJCY","Female",0,"Yes","Yes",14,"Yes","Yes","Fiber optic","No","No","Yes","No","No","Yes","Month-to-month","Yes","Electronic check",87.25,1258.6,"Yes",1
"1350","2625-TRCZQ","Female",0,"Yes","No",51,"No","No phone service","DSL","No","Yes","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",49.65,2553.35,"No",0
"1352","7266-GSSJX","Male",0,"Yes","Yes",11,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","Yes","Electronic check",20.45,250.8,"No",0
"1354","7073-QETQY","Male",0,"Yes","Yes",66,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","Yes","Electronic check",20.35,1359.5,"No",0
"1355","9415-DPEWS","Female",0,"No","No",18,"Yes","Yes","Fiber optic","No","No","No","Yes","Yes","No","Month-to-month","Yes","Electronic check",88.35,1639.3,"Yes",1
"1356","5624-RYAMH","Female",0,"No","No",9,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","Yes","Electronic check",19.5,178.85,"No",0
"1357","0196-JTUQI","Female",0,"No","No",9,"Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Credit card (automatic)",75.2,633.85,"No",0
"1359","9272-LSVYH","Male",0,"No","No",10,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","No","Mailed check",70.15,735.5,"No",0
"1363","2568-BRGYX","Male",0,"No","No",4,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",70.2,237.95,"Yes",1
"1365","1084-MNSMJ","Female",0,"Yes","Yes",51,"Yes","No","DSL","Yes","Yes","Yes","Yes","Yes","Yes","Two year","No","Credit card (automatic)",85.5,4421.95,"No",0
"1369","6250-CGGUN","Male",0,"No","No",54,"Yes","No","Fiber optic","Yes","No","Yes","Yes","No","No","One year","No","Electronic check",84.4,4484.05,"No",0
"1371","7596-IIWYC","Female",0,"No","No",27,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","Yes","Bank transfer (automatic)",20.25,538.2,"No",0
"1372","6567-HOOPW","Female",1,"No","No",1,"Yes","No","Fiber optic","No","No","No","No","Yes","No","Month-to-month","Yes","Electronic check",79.2,79.2,"Yes",1
"1373","9793-WECQC","Male",0,"No","No",23,"Yes","No","Fiber optic","No","Yes","No","No","Yes","Yes","Month-to-month","No","Mailed check",95.3,2192.9,"No",0
"1375","8999-YPYBV","Male",0,"Yes","Yes",45,"Yes","No","DSL","Yes","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Mailed check",84.35,3858.05,"No",0
"1377","3164-AALRN","Male",0,"No","No",5,"Yes","No","DSL","No","No","Yes","No","Yes","Yes","One year","Yes","Mailed check",70,347.4,"Yes",1
"1380","0562-KBDVM","Female",0,"No","No",70,"No","No phone service","DSL","Yes","Yes","Yes","Yes","No","No","Two year","Yes","Bank transfer (automatic)",44.6,3058.15,"No",0
